,name,value,year,lastValue,rank,Div
0,Barcelona,335,2020.1,326,1,SP1
1,Ath Madrid,305,2020.1,298,2,SP1
2,Real Madrid,305,2020.1,301,2,SP1
3,Sevilla,270,2020.1,266,3,SP1
4,Ath Bilbao,238,2020.1,235,4,SP1
5,Valencia,237,2020.1,233,5,SP1
6,Villarreal,228,2020.1,225,6,SP1
7,Sociedad,216,2020.1,207,7,SP1
8,Celta,194,2020.1,188,8,SP1
9,Espanol,191,2020.1,187,9,SP1
10,Getafe,164,2020.1,160,10,SP1
11,Eibar,160,2020.1,157,11,SP1
12,Betis,154,2020.1,150,12,SP1
13,Levante,153,2020.1,146,13,SP1
14,Malaga,133,2020.1,130,14,SP1
15,Granada,109,2020.1,105,15,SP1
16,Alaves,109,2020.1,102,15,SP1
17,Vallecano,99,2020.1,96,16,SP1
18,Leganes,96,2020.1,94,17,SP1
19,La Coruna,85,2020.1,85,18,SP1
20,Las Palmas,76,2020.1,76,19,SP1
21,Valladolid,63,2020.1,59,20,SP1
22,Osasuna,56,2020.1,53,21,SP1
23,Elche,47,2020.1,44,22,SP1
24,Sp Gijon,44,2020.1,39,23,SP1
25,Girona,42,2020.1,39,24,SP1
26,Almeria,40,2020.1,36,25,SP1
27,Huesca,21,2020.1,15,26,SP1
28,Mallorca,20,2020.1,17,27,SP1
29,Cordoba,9,2020.1,9,28,SP1
30,Barcelona,326,2020.0,320,1,SP1
31,Real Madrid,301,2020.0,295,2,SP1
32,Ath Madrid,298,2020.0,294,3,SP1
33,Sevilla,266,2020.0,261,4,SP1
34,Ath Bilbao,235,2020.0,234,5,SP1
35,Valencia,233,2020.0,224,6,SP1
36,Villarreal,225,2020.0,222,7,SP1
37,Sociedad,207,2020.0,204,8,SP1
38,Celta,188,2020.0,186,9,SP1
39,Espanol,187,2020.0,185,10,SP1
40,Getafe,160,2020.0,157,11,SP1
41,Eibar,157,2020.0,153,12,SP1
42,Betis,150,2020.0,147,13,SP1
43,Levante,146,2020.0,146,14,SP1
44,Malaga,133,2020.0,130,15,SP1
45,Granada,105,2020.0,99,16,SP1
46,Alaves,102,2020.0,101,17,SP1
47,Vallecano,99,2020.0,96,18,SP1
48,Leganes,94,2020.0,91,19,SP1
49,La Coruna,85,2020.0,85,20,SP1
50,Las Palmas,76,2020.0,76,21,SP1
51,Valladolid,59,2020.0,58,22,SP1
52,Osasuna,53,2020.0,49,23,SP1
53,Elche,47,2020.0,44,24,SP1
54,Sp Gijon,44,2020.0,39,25,SP1
55,Girona,42,2020.0,39,26,SP1
56,Almeria,40,2020.0,36,27,SP1
57,Huesca,21,2020.0,15,28,SP1
58,Mallorca,17,2020.0,14,29,SP1
59,Cordoba,9,2020.0,9,30,SP1
60,Barcelona,320,2019.9,313,1,SP1
61,Real Madrid,295,2019.9,291,2,SP1
62,Ath Madrid,294,2019.9,291,3,SP1
63,Sevilla,261,2019.9,258,4,SP1
64,Ath Bilbao,234,2019.9,230,5,SP1
65,Valencia,224,2019.9,220,6,SP1
66,Villarreal,222,2019.9,218,7,SP1
67,Sociedad,204,2019.9,200,8,SP1
68,Celta,186,2019.9,184,9,SP1
69,Espanol,185,2019.9,184,10,SP1
70,Getafe,157,2019.9,151,11,SP1
71,Eibar,153,2019.9,150,12,SP1
72,Betis,147,2019.9,144,13,SP1
73,Levante,146,2019.9,143,14,SP1
74,Malaga,133,2019.9,130,15,SP1
75,Alaves,101,2019.9,100,16,SP1
76,Vallecano,99,2019.9,96,17,SP1
77,Granada,99,2019.9,96,17,SP1
78,Leganes,91,2019.9,85,18,SP1
79,La Coruna,85,2019.9,85,19,SP1
80,Las Palmas,76,2019.9,76,20,SP1
81,Valladolid,58,2019.9,56,21,SP1
82,Osasuna,49,2019.9,48,22,SP1
83,Elche,47,2019.9,44,23,SP1
84,Sp Gijon,44,2019.9,39,24,SP1
85,Girona,42,2019.9,39,25,SP1
86,Almeria,40,2019.9,36,26,SP1
87,Huesca,21,2019.9,15,27,SP1
88,Mallorca,14,2019.9,14,28,SP1
89,Cordoba,9,2019.9,9,29,SP1
90,Barcelona,313,2019.8,307,1,SP1
91,Real Madrid,291,2019.8,284,2,SP1
92,Ath Madrid,291,2019.8,285,2,SP1
93,Sevilla,258,2019.8,251,3,SP1
94,Ath Bilbao,230,2019.8,223,4,SP1
95,Valencia,220,2019.8,216,5,SP1
96,Villarreal,218,2019.8,214,6,SP1
97,Sociedad,200,2019.8,196,7,SP1
98,Espanol,184,2019.8,183,8,SP1
99,Celta,184,2019.8,184,8,SP1
100,Getafe,151,2019.8,147,9,SP1
101,Eibar,150,2019.8,147,10,SP1
102,Betis,144,2019.8,138,11,SP1
103,Levante,143,2019.8,137,12,SP1
104,Malaga,133,2019.8,130,13,SP1
105,Alaves,100,2019.8,93,14,SP1
106,Vallecano,99,2019.8,96,15,SP1
107,Granada,96,2019.8,92,16,SP1
108,Leganes,85,2019.8,82,17,SP1
109,La Coruna,85,2019.8,85,17,SP1
110,Las Palmas,76,2019.8,76,18,SP1
111,Valladolid,56,2019.8,50,19,SP1
112,Osasuna,48,2019.8,42,20,SP1
113,Elche,47,2019.8,44,21,SP1
114,Sp Gijon,44,2019.8,39,22,SP1
115,Girona,42,2019.8,39,23,SP1
116,Almeria,40,2019.8,36,24,SP1
117,Huesca,21,2019.8,15,25,SP1
118,Mallorca,14,2019.8,10,26,SP1
119,Cordoba,9,2019.8,9,27,SP1
120,Barcelona,307,2019.7,298,1,SP1
121,Ath Madrid,285,2019.7,282,2,SP1
122,Real Madrid,284,2019.7,275,3,SP1
123,Sevilla,251,2019.7,248,4,SP1
124,Ath Bilbao,223,2019.7,220,5,SP1
125,Valencia,216,2019.7,211,6,SP1
126,Villarreal,214,2019.7,208,7,SP1
127,Sociedad,196,2019.7,190,8,SP1
128,Celta,184,2019.7,180,9,SP1
129,Espanol,183,2019.7,183,10,SP1
130,Getafe,147,2019.7,141,11,SP1
131,Eibar,147,2019.7,141,11,SP1
132,Betis,138,2019.7,133,12,SP1
133,Levante,137,2019.7,135,13,SP1
134,Malaga,133,2019.7,130,14,SP1
135,Vallecano,99,2019.7,96,15,SP1
136,Alaves,93,2019.7,90,16,SP1
137,Granada,92,2019.7,83,17,SP1
138,La Coruna,85,2019.7,85,18,SP1
139,Leganes,82,2019.7,81,19,SP1
140,Las Palmas,76,2019.7,76,20,SP1
141,Valladolid,50,2019.7,47,21,SP1
142,Elche,47,2019.7,44,22,SP1
143,Sp Gijon,44,2019.7,39,23,SP1
144,Girona,42,2019.7,39,24,SP1
145,Osasuna,42,2019.7,38,24,SP1
146,Almeria,40,2019.7,36,25,SP1
147,Huesca,21,2019.7,15,26,SP1
148,Mallorca,10,2019.7,4,27,SP1
149,Cordoba,9,2019.7,9,28,SP1
150,Barcelona,298,2019.6,295,1,SP1
151,Ath Madrid,282,2019.6,276,2,SP1
152,Real Madrid,275,2019.6,274,3,SP1
153,Sevilla,248,2019.6,247,4,SP1
154,Ath Bilbao,220,2019.6,214,5,SP1
155,Valencia,211,2019.6,207,6,SP1
156,Villarreal,208,2019.6,206,7,SP1
157,Sociedad,190,2019.6,184,8,SP1
158,Espanol,183,2019.6,183,9,SP1
159,Celta,180,2019.6,177,10,SP1
160,Getafe,141,2019.6,139,11,SP1
161,Eibar,141,2019.6,137,11,SP1
162,Levante,135,2019.6,129,12,SP1
163,Betis,133,2019.6,130,13,SP1
164,Malaga,133,2019.6,130,13,SP1
165,Vallecano,99,2019.6,96,14,SP1
166,Alaves,90,2019.6,86,15,SP1
167,La Coruna,85,2019.6,85,16,SP1
168,Granada,83,2019.6,83,17,SP1
169,Leganes,81,2019.6,81,18,SP1
170,Las Palmas,76,2019.6,76,19,SP1
171,Valladolid,47,2019.6,41,20,SP1
172,Elche,47,2019.6,44,20,SP1
173,Sp Gijon,44,2019.6,39,21,SP1
174,Girona,42,2019.6,39,22,SP1
175,Almeria,40,2019.6,36,23,SP1
176,Osasuna,38,2019.6,36,24,SP1
177,Huesca,21,2019.6,15,25,SP1
178,Cordoba,9,2019.6,9,26,SP1
179,Mallorca,4,2019.6,0,27,SP1
180,Barcelona,295,2019.5,289,1,SP1
181,Ath Madrid,276,2019.5,269,2,SP1
182,Real Madrid,274,2019.5,268,3,SP1
183,Sevilla,247,2019.5,241,4,SP1
184,Ath Bilbao,214,2019.5,210,5,SP1
185,Valencia,207,2019.5,204,6,SP1
186,Villarreal,206,2019.5,199,7,SP1
187,Sociedad,190,2019.5,184,8,SP1
188,Espanol,183,2019.5,176,9,SP1
189,Celta,177,2019.5,173,10,SP1
190,Eibar,141,2019.5,137,11,SP1
191,Getafe,139,2019.5,131,12,SP1
192,Malaga,133,2019.5,130,13,SP1
193,Betis,130,2019.5,126,14,SP1
194,Levante,129,2019.5,121,15,SP1
195,Vallecano,99,2019.5,96,16,SP1
196,Alaves,86,2019.5,83,17,SP1
197,La Coruna,85,2019.5,85,18,SP1
198,Granada,83,2019.5,83,19,SP1
199,Leganes,81,2019.5,80,20,SP1
200,Las Palmas,76,2019.5,76,21,SP1
201,Elche,47,2019.5,44,22,SP1
202,Valladolid,47,2019.5,41,22,SP1
203,Sp Gijon,44,2019.5,39,23,SP1
204,Girona,42,2019.5,39,24,SP1
205,Almeria,40,2019.5,36,25,SP1
206,Osasuna,36,2019.5,31,26,SP1
207,Huesca,21,2019.5,15,27,SP1
208,Cordoba,9,2019.5,9,28,SP1
209,Mallorca,0,2019.5,0,29,SP1
210,Barcelona,295,2019.4,289,1,SP1
211,Ath Madrid,276,2019.4,269,2,SP1
212,Real Madrid,274,2019.4,268,3,SP1
213,Sevilla,247,2019.4,241,4,SP1
214,Ath Bilbao,214,2019.4,210,5,SP1
215,Valencia,207,2019.4,204,6,SP1
216,Villarreal,206,2019.4,199,7,SP1
217,Sociedad,190,2019.4,184,8,SP1
218,Espanol,183,2019.4,176,9,SP1
219,Celta,177,2019.4,173,10,SP1
220,Eibar,141,2019.4,137,11,SP1
221,Getafe,139,2019.4,131,12,SP1
222,Malaga,133,2019.4,130,13,SP1
223,Betis,130,2019.4,126,14,SP1
224,Levante,129,2019.4,121,15,SP1
225,Vallecano,99,2019.4,96,16,SP1
226,Alaves,86,2019.4,83,17,SP1
227,La Coruna,85,2019.4,85,18,SP1
228,Granada,83,2019.4,83,19,SP1
229,Leganes,81,2019.4,80,20,SP1
230,Las Palmas,76,2019.4,76,21,SP1
231,Valladolid,47,2019.4,41,22,SP1
232,Elche,47,2019.4,44,22,SP1
233,Sp Gijon,44,2019.4,39,23,SP1
234,Girona,42,2019.4,39,24,SP1
235,Almeria,40,2019.4,36,25,SP1
236,Osasuna,36,2019.4,31,26,SP1
237,Huesca,21,2019.4,15,27,SP1
238,Cordoba,9,2019.4,9,28,SP1
239,Mallorca,0,2019.4,0,29,SP1
240,Barcelona,295,2019.3,289,1,SP1
241,Ath Madrid,276,2019.3,269,2,SP1
242,Real Madrid,274,2019.3,268,3,SP1
243,Sevilla,247,2019.3,241,4,SP1
244,Ath Bilbao,214,2019.3,210,5,SP1
245,Valencia,207,2019.3,204,6,SP1
246,Villarreal,206,2019.3,199,7,SP1
247,Sociedad,190,2019.3,184,8,SP1
248,Espanol,183,2019.3,176,9,SP1
249,Celta,177,2019.3,173,10,SP1
250,Eibar,141,2019.3,137,11,SP1
251,Getafe,139,2019.3,131,12,SP1
252,Malaga,133,2019.3,130,13,SP1
